id,overall,name,position,age,team,nation
30,6285,Cafer Can Aksu,STMSZOM,17,Galatasaray,Türkei
1,6272,Andrea Mantovani,LVIV,20,Turin,Italien
2,6275,Christian Obodo,ZMRMZDM,20,Firenze,Nigeria
3,6275,Spencer Verbiest,IVRDMZDM,20,SC Heerenveen,Belgien
4,6281,René Adler,TW,19,Bayer Leverkusen,Deutschland
5,6279,Simon Rolfes,LMZDMLZDM,22,Alemannia Aachen,Deutschland
6,6278,Pepe,IVZDM,21,FC Porto,Brasilien
7,6280,Craig Westcarr,MS,19,Nottingham Forest,England
8,6277,Laurent Pionnier,TW,22,SC Montpellier,Frankreich
9,6272,Benjamin Gavanon,ZOM,24,AS Nancy,Frankreich
10,6275,Massimiliano Vieri,ST,26,Ternana,Italien
11,6285,Patrick Blondeau,RV,36,US Creteil,Frankreich
12,6276,John Murphy,STRFL,27,FC Blackpool,England
13,6285,Björn Hertl,IVLIBRZM,28,SV Wacker Burghausen,Deutschland
14,6276,Martin Forkel,RVRMRAV,25,SV Wacker Burghausen,Deutschland
15,6272,Alexei Kossonogov,STMS,22,Girondins Bordeaux,Russland
16,6285,Arnaud Lebrun,RAVZMRV,31,SC Amiens,Frankreich
17,6280,Oscar Ewolo,ZOMLZOMLOM,25,SC Amiens,Kongo
18,6280,Abalo,RVRAVRIV,29,SC Amiens,Togo
19,6272,Geoffrey Dernis,ST,23,Lille Osc,Frankreich
20,6279,Bruno Savry,RV,30,FC Istres,Frankreich
21,6272,Alexandre Dujeux,RV,28,Le Havre,Frankreich
22,6279,Sébastien Dallet,RALAROM,31,ES Troyes AC,Frankreich
23,6272,Mathieu Assou-Ekotto,RMRZMRDM,26,Raa Louviéroise,Frankreich
24,6278,Mario Eggimann,IVRVRAV,23,Karlsruher SC,Schweiz
25,6273,Redero,RVIVLV,28,UD Salamanca,Spanien
26,6277,Moreno,IVLV,30,Racing Ferrol,Spanien
27,6272,Rubén,ST,25,Elche,Spanien
28,6272,Samuel,LZMZM,25,Sporting Gijón,Spanien
29,6278,Damiano Moscardi,LMRM,30,Vicenza Calcio,Italien
30,6278,Claudio Rivalta,LVLAV,26,Atalanta,Italien
1,6272,Álex,RVIV,27,Recreativo de Huelva,Venezuela
2,6272,Deus,MSST,27,UD Salamanca,Spanien
3,6283,Pineda,ST,32,Numancia,Spanien
4,6272,Mena,STMS,26,Xerez,Spanien
5,6273,Clavero,LVLIV,27,Osasuna,Spanien
6,6272,Pedro,RVRIV,26,Ciudad de Murcia,Spanien
7,6278,Neru,LVIV,30,Sporting Gijón,Spanien
8,6272,Ludovic Assemoassa,IVLIB,24,Clermont Foot Auvergne,Frankreich
9,6273,Florian Lucchini,TW,23,AC Ajaccio,Frankreich
10,6272,Florian Jarjat,LVLAV,24,OGC Nizza,Frankreich
11,6279,Diego Alegre,RAVRMROM,22,Sporting Gijón,Spanien
12,6276,Jesús,ZDMZDM,29,Real Valladolid,Spanien
13,6272,Toni González,ZDMZM,22,Ciudad de Murcia,Spanien
14,6272,Moya,TW,20,RCD Mallorca,Spanien
15,6273,Güiza,ST,24,Ciudad de Murcia,Spanien
16,6291,Pablo Óscar Rotchen,LIBIV,31,Monterrey,Argentinien
17,6273,D. Pirri,LVLM,30,Real Saragossa,Spanien
18,6279,Bram Castro,TW,22,St.Truidense VV,Belgien
19,6284,D. Degen,RFLRMST,22,FC Basel,Schweiz
20,6278,Ian Cox,IV,33,Gillingham FC,Trinidad und Tobago
21,6277,Juri Tamburini,IV,27,Modena,Italien
22,6287,Dani,RV,23,Tarragona,Spanien
23,6272,George Blay,RIV,24,Raa Louviéroise,Ghana
24,6275,Aidan Davison,TW,36,Colchester Untied,England
25,6273,Andy Myers,LVIV,30,FC Brentford,England
26,6280,Jacek Magiera,ZDMIVZM,27,Legia Warschau,Polen
27,6285,Gurpegi,ZMZOMIV,24,Athletic Bilbao,Spanien
28,6278,Pascal Formann,TW,21,Nottingham Forest,Deutschland
29,6280,Andy Smith,STRA,24,Preston North End,Nordirland
30,6278,Giorgio Sterchele,TW,34,Vicenza Calcio,Italien
1,6290,Günther Neukirchner,IVRVLIB,32,SK Sturm Graz,Österreich
2,6272,Zeljko Pavlovic,TW,33,FC Wacker Tirol,Kroatien
3,6280,Michael Proctor,MSRFLRZOM,24,Rotherham United,England
4,6272,Florian Heller,STMSZOM,22,Greuther Fürth,Deutschland
5,6275,Adebowale Ogungbure,ZDMLIBIV,23,Energie Cottbus,Nigeria
6,6273,Levente Csik,IVLIVRIV,30,Dynamo Dresden,Rumänien
7,6274,Marko Tredup,IVRVLV,30,LR Ahlen,Deutschland
8,6277,Najeh Braham,STMSZOM,27,Rot-Weiss Erfurt,Tunesien
9,6278,Ralf Becker,ZMZOMRZM,34,Karlsruher SC,Deutschland
10,6272,Benjamin Weigelt,LAVLVLIV,22,FSV Mainz 05,Deutschland
11,6285,Timo Ochs,TW,22,TSV 1860 München,Deutschland
12,6279,Antun Labak,STMSRA,34,Eintracht Trier,Kroatien
13,6280,Maik Wagefeld,ZDMZOMZM,23,1.FC Nürnberg,Deutschland
14,6272,Igjnac Kresic,TW,37,Dynamo Dresden,Kroatien
15,6286,Emmanuel Krontiris,STMSZOM,21,TSV 1860 München,Deutschland
16,6272,Steve Phillips,TW,26,Bristol City,England
17,6275,Kris Commons,LVLAVLM,21,Nottingham Forest,England
18,6280,Marc Goodfellow,STLALFL,23,Bristol City,England
19,6272,Tony Barras,IV,33,Macclesfield Town,England
20,6278,David Noble,ZOMZOM,22,Boston United,Schottland
21,6274,Kristof Arijs,ST,27,Cercle-Brügge,Belgien
22,6280,Stijn Stijnen,TW,23,FC Brügge,Belgien
23,6285,Tom Huddlestone,IV,17,Derby County,England
24,6272,Robert Wolleaston,LFLSTLM,22,Oxford United,England
25,6284,Mirko Poledica,LVLIV,26,Legia Warschau,Serbien
26,6272,Ricky Newman,ZDMLVLM,34,FC Reading,England
27,6278,Richard Johnson,ZM,30,Queens Park Rangers,Australien
28,6273,Logan Pause,LMZDM,23,Chicago Fire,USA
29,6275,Peter Hawkins,IVZM,26,Rushden + Diamonds,England
30,6278,Pablo Mills,LVRVIV,20,Derby County,England
1,6272,Nathan Tyson,MSLMST,22,Wycombe Wanderers,England
2,6275,Matthew Hamshaw,RZMRM,22,Sheffield Wednesday,England
3,6272,Lewis Price,TW,20,Ipswich Town,Wales
4,6272,Darrell Clarke,RMZM,26,Hartlepool United,England
5,6278,Leigh Bromby,IVLV,24,Sheffield United,England
6,6275,Jermaine Darlington,RVRAVRM,30,FC Watford,England
7,6280,James Harper,ZMLZOMLZM,23,FC Reading,England
8,6276,Ian Gray,TW,29,Huddersfield Town,England
9,6276,Graeme Murty,RAVRVRM,29,FC Reading,Schottland
10,6278,Darren Holloway,RVIV,27,Bradford City,England
11,6276,Darren Barnard,LMLAVLFL,32,Wales,Wales
12,6276,Chris Armstrong,ST,33,AFC Wrexham,England
13,6278,Brad Jones,TW,22,Middlesbrough,England
14,6273,Antonio Murray,ZM,19,Ipswich Town,England
15,6277,Mario Espartero,RZDM,26,Raa Louviéroise,Frankreich
16,6275,Guillaume Lacour,ZMZDM,24,RC Strasburg,Frankreich
17,6272,Bouabid Bouden,ST,22,RC Lens,Marokko
18,6277,Eliseo Quintanilla,MS,21,D.C. United,El Salvador
19,6272,Issa Ba,RAZOMRZOM,22,Berrichonne de Châteauroux,Senegal
20,6278,Adam Proudlock,STRFLLFL,23,Sheffield Wednesday,England
21,6278,Adam Piekutowski,TW,30,Wisla Krakau,Polen
22,6272,Hans Jørgen Andersen,IV,104,FK Bodö/Glimt,Norwegen
23,6272,Bjarte Hovland,TW,23,Sogndal,Norwegen
24,6272,Alex Brunner,TW,30,Salernitana,Italien
25,6285,Michael Oakes,TW,30,Wolverhampton,England
26,6278,Martin Grainger,LVLAVLM,32,Birmingham City,England
27,6272,Hjalte Bo Nørregaard,RMZOM,23,FC Kopenhagen,Dänemark
28,6273,David Lilley,RVRAVRM,26,Kilmarnock,Schottland
29,6278,Olaf Lindenbergh,ZMLM,30,AZ Alkmaar,Niederlande
30,6272,Dennis Weiland,LZOMLZMLM,30,FSV Mainz 05,Deutschland
1,6278,Wayne Quinn,LVLAV,27,AFC Wrexham,England
2,6272,Helmut Riegler,LMLFLLDM,27,FC Superfund Pasching,Österreich
3,6278,Julio Cesar Leon,RMZM,25,Reggina Calcio,Honduras
4,6272,Andreas Dahl,ZMZDM,20,Helsingborg IF,Schweden
5,6276,Abdoulaye Cissé,STRSLS,20,SC Montpellier,Burkina Faso
6,6275,Daouda Jabi,RV,23,RC Lens,Guinea
7,6277,David Mackay,IVRAVRV,23,Oxford United,Schottland
8,6293,Thomas Kahlenberg,ZOMRM,21,Brondby IF,Dänemark
9,6277,Claude Kalisa,IVZDM,27,St.Truidense VV,Ruanda
10,6290,Ekrem Dag,RFLRZMROM,23,SK Sturm Graz,Türkei
11,6272,Marcin Adamski,LVIV,29,Rapid Wien,Polen
12,6275,Mamadou Diabang,LSSTLFL,25,VfL Bochum,Senegal
13,6287,Marius Stankevicius,IVRAVRV,23,Brescia,Litauen
14,6280,Peragón,STZOMLOM,24,Elche,Spanien
15,6280,Puñal,ZDMZM,29,Osasuna,Spanien
16,6272,Brian Namoff,IVZM,25,D.C. United,USA
17,6285,Thomas Eder,ZMZOM,23,Austria Salzburg,Österreich
18,6272,Davide Taini,TW,27,FC Zürich,Schweiz
19,6272,Daniel Mobaeck,RMRDMZDM,24,Kalmar,Schweden
20,6272,Devin Barclay,STZOM,21,Columbus Crew,USA
21,6282,Marcão,ZDM,32,Fluminense,Brasilien
22,6272,Louay Chanko,ZMROMLOM,24,Malmö FF,Schweden
23,6289,Euzebiusz Smolarek,LFLMSST,23,Feyenoord Rotterdam,Polen
24,6283,Jan Kristiansen,RMZOMLM,23,Esbjerg FB,Dänemark
25,6272,Kurt Heggestad,RMRFLRDM,22,Sogndal,Norwegen
26,6272,Martin Lang,IVLIB,27,SV Mattersburg,Österreich
27,6279,Alexandre Frutos,ZMLM,22,Berrichonne de Châteauroux,Frankreich
28,6278,Markus Hiden,IVZDM,26,Rapid Wien,Österreich
29,6278,Christoph Jank,IVRIVLIV,30,Austria Salzburg,Österreich
30,6284,Kim Christensen,ST,24,FC Twente,Dänemark
1,6272,Sebastian Johansson,ZM,24,IFK Göteborg,Schweden
2,6273,Seth Trembly,ZOMRMLM,22,Colorado Rapids,USA
3,6285,Carl Tourenne,ZDMIVZM,32,ES Troyes AC,Frankreich
4,6272,Abdelilah Fahmi,IVLIB,31,RC Strasburg,Marokko
5,6278,Park S. C.,LS,29,Puchon SK,"Korea, Republik"
6,6272,Matthias Eklund,MSRA,28,Landskrona,Schweden
7,6283,Aki Riihilahti,ZMZDM,28,Crystal Palace,Finnland
8,6279,Romeo Castelen,RFLMSST,21,Feyenoord Rotterdam,Niederlande
9,6272,Janne Saarinen,LVLAV,27,FC Kopenhagen,Finnland
10,6285,Adam Griffin,ZM,20,Oldham Athletic,England
11,6277,Mats Rubarth,LMLFLLA,27,AIK Solna,Schweden
12,6278,Pedro Barbosa,LMLFLRM,34,Sporting Lissabon,Portugal
13,6274,Nélson,TW,28,Sporting Lissabon,Portugal
14,6272,Barroso,ZOMZMMS,34,Sporting Braga,Portugal
15,6272,Nuno Carrapato,TW,28,CD Nacional Funchal,Portugal
16,6276,Anders Prytz,LV,27,Örgryte Göteborg,Schweden
17,6273,Mikael Danielson,LAVLVIV,30,Örebro SK,Schweden
18,6278,Dean Whitehead,ZM,22,Sunderland,England
19,6272,Chris Hackett,ZMZOMRM,21,Oxford United,England
20,6278,Ian Armstrong,LFLST,22,FC Port Vale,England
21,6275,Marc Bridge-Wilkinson,ZMZOM,25,Stockport County,England
22,6275,Mario Bazina,ZM,29,Liebherr GAK,Kroatien
23,6272,Glenn Morris,TW,20,Leyton Orient,England
24,6272,Garreth O'Connor,LMZOMLFL,25,AFC Bournemouth,Republik Irland
25,6278,Shaun Maher,IV,26,AFC Bournemouth,Republik Irland
26,6272,Mark Bonner,ZMLM,30,Oldham Athletic,England
27,6272,Scott Fitzgerald,IVRV,35,FC Brentford,Republik Irland
28,6272,Will Haining,IVLV,22,Oldham Athletic,Schottland
29,6272,Lee McCulloch,LMST,26,Wigan Athletic,Schottland
30,6278,Paul Reid,ZM,25,Brighton Hove Albion,Australien
1,6272,Dusan Belic,TW,33,St.Truidense VV,Serbien
2,6278,Gonzague Van Dooren,STLV,25,Standard Lüttich,Belgien
3,6272,Magnus Kihlstedt,TW,32,FC Kopenhagen,Schweden
4,6278,Mario Tokic,IVLIB,29,Liebherr GAK,Kroatien
5,6272,Steve Cooreman,RAVRM,27,KAA Gent,Belgien
6,6272,Chris de Witte,STMS,26,FC Groningen,Belgien
7,6272,Steve Wilson,TW,30,Macclesfield Town,England
8,6284,Nuno Morais,IVRV,20,Chelsea,Portugal
9,6272,Petter Hansson,IVLIVLV,27,SC Heerenveen,Schweden
10,6278,Rouven Schröder,IV,28,MSV Duisburg,Deutschland
11,6272,Tomislav Piplica,TW,35,Energie Cottbus,Bosnien-Herzegowina
12,6276,Lee Roche,RVIV,23,FC Burnley,England
13,6272,Paul Green,ZM,21,Doncaster Rovers,England
14,6272,Drewe Broughton,STMS,25,Southend United,England
15,6278,David Bayliss,IV,28,Luton Town,England
16,6283,Davor Vugrinec,ST,29,Catania,Kroatien
17,6276,Mattias Asper,TW,30,Malmö FF,Schweden
18,6272,Marcus Lindberg,RIVRV,24,Helsingborg IF,Schweden
19,6293,Youssouf Hersi,ZOMROMMS,22,SC Heerenveen,Niederlande
20,6276,Rolf Landerl,STZOM,28,F.C. Penafiel,Österreich
21,6275,De Quintana,IVRVZDM,32,FC Cadiz,Spanien
22,6278,Giuseppe Colucci,ZM,24,Reggina Calcio,Italien
23,6272,Fabio Macellari,RVRAVRM,30,Cagliari Calcio,Italien
24,6277,Gianluca Falsini,LVLAVLFL,29,AC Siena,Italien
25,6278,Marcello Albino,ZMRM,33,Cagliari Calcio,Italien
26,6272,Patrick Ax,LALFLLM,25,De Graafschap,Niederlande
27,6277,Iwan Redan,STMS,24,Willem II,Niederlande
28,6286,Joris Mathijsen,IVLV,24,AZ Alkmaar,Niederlande
29,6276,Daniele Delli Carri,RVIV,33,Firenze,Italien
30,6274,Gianluca Colonnello,LVLAV,31,Pescara,Italien
1,6279,Cristiano Zenoni,RMRAVRV,27,Doria,Italien
2,6275,Simone Vergassola,ZMZDMZOM,28,AC Siena,Italien
3,6272,Holger Wehlage,RMRFLROM,28,MSV Duisburg,Deutschland
4,6272,Yazid Mansouri,RMZOM,26,Berrichonne de Châteauroux,Algerien
5,6272,Bengt Andersson,TW,38,IFK Göteborg,Schweden
6,6280,Patrick De Napoli,STMSLFL,28,BSC Young Boys,Schweiz
7,6276,Sasa Ilic,TW,32,FC Blackpool,Australien
8,6285,Josip Skoko,ZM,25,Australien,Australien
9,6281,Marcel Ketelaer,LALFLLOM,26,1.FC Nürnberg,Deutschland
10,6272,Lars Winde,TW,28,Esbjerg FB,Dänemark
11,6280,Christophe Ferron,IVRIVLIV,33,Stade Laval,Frankreich
12,6278,Ian Hillier,RVIVLV,24,Luton Town,Wales
13,6280,Kevin Betsy,RFLSTRM,26,Hartlepool United,England
14,6276,Dietmar Hirsch,LVLMZDM,32,MSV Duisburg,Deutschland
15,6280,Saúl,IV,26,US Creteil,Portugal
16,6272,Tommy Mooney,MSSTLFL,33,Oxford United,England
17,6275,Fraser McLachlan,RFLROMRZOM,21,Stockport County,England
18,6278,Adil Ramzi,ZMZOMMS,27,AZ Alkmaar,Marokko
19,6285,Patrick Moreau,IVLIBZDM,30,AS Nancy,Frankreich
20,6291,Alex Pinardi,ZOMRFLLFL,24,Atalanta,Italien
21,6272,Yacine Abdessadki,ZOMZM,23,RC Strasburg,Algerien
22,6293,Kevin Muscat,IVRIVRV,31,Millwall,Australien
23,6272,Nathan Clarke,IV,20,Huddersfield Town,England
24,6273,Adrian Moses,IV,29,Crewe Alexandra,England
25,6278,Zulu,STRARS,21,Gremio Porto Alegre,Brasilien
26,6285,Alan Kernaghan,IVLIB,37,Livingston,Republik Irland
27,6278,Paul Telfer,RMZM,32,Southampton,Schottland
28,6176,Joelson Josè Inacio,RZM,21,Albinoleffe,Brasilien
29,6180,Lloyd Opara,ST,20,Swindon Town,England
30,6175,John McCombe,IV,19,Huddersfield Town,England
1,6180,Adriano Pinta Ferreira,RZOMLFL,24,AC Perugia,Brasilien
2,6178,Curtis Weston,ZMZOM,17,Millwall,England
3,6173,Nicolas Lombaerts,LV,19,KAA Gent,Belgien
4,6171,Sébastien Pocognoli,ST,17,KRC Genk,Belgien
5,6180,Alexander Castro,RVRAV,25,Costa Rica,Costa Rica
6,6178,John Brackstone,LV,19,Hartlepool United,England
7,6181,Jermaine Palmer,STLAMS,18,Stoke City,England
8,6171,Avelino,TW,28,F.C. Penafiel,Portugal
9,6176,Nenad Mirosavljevic,STRS,27,FC Cadiz,Serbien
10,6171,Marko Bozic,RMZM,20,Slowenien,Slowenien
11,6172,Brandon Santalab,ST,22,KV Oostende,Australien
12,6171,Zéphirin Ghanoua Zoko,MS,27,KV Oostende,Elfenbeinküste
13,6178,Lewis Hamilton,RV,19,Queens Park Rangers,England
14,6172,Perek Belleh,ST,22,New England Rev.,Nigeria
15,6171,Frank van Mosselveld,IV,20,Willem II,Niederlande
16,6185,Faris Haroun,RMRA,19,KRC Genk,Belgien
17,6182,Antimo Iunco,STMSZOM,20,Hellas Verona,Italien
18,6180,Luca Pinali,LIBIVRIV,20,Hellas Verona,Italien
19,6171,Simone Sannibale,IVRIVZDM,18,Lazio Rom,Italien
20,6176,Steven Bozinovski,IV,23,KV Oostende,Australien
21,6176,Stiven Rivic,ST,20,St.Truidense VV,Kroatien
22,6178,Cato Vonheim,ST,18,Lyn,Norwegen
23,6180,David Henríquez,IVLIBZDM,27,Morelia,Chile
24,6175,Mathias Eikenes,MSIV,19,Sogndal,Norwegen
25,6179,Lello,ZDMRZDMRDM,23,Santos,Brasilien
26,6182,Flávio,RVRAVRDM,24,Santos,Brasilien
27,6178,Vivaldo Nascimento Barreto,IVRVLV,24,Rot-Weiss Essen,Brasilien
28,6187,Benjamin Imeh,MSST,22,Polonia Warszawa,Nigeria
29,6171,Mike Whitlow,IV,36,Nottingham County,England
30,6180,Adnan Custovic,STMS,26,SC Amiens,Bosnien-Herzegowina
1,6171,Stefano De Angelis,LVLAVLIV,30,Salernitana,Italien
2,6171,Akeem Oluwashegun Omolade,STZOMRZOM,21,Turin,Nigeria
3,6178,Aksel Berget Skjølsvik,LSST,17,Rosenborg Trondheim,Norwegen
4,6175,Ricardo Varela,ST,25,Racing Santander,Uruguay
5,6171,Richard Dahl,IV,17,Tromsö IL,Norwegen
6,6175,Nicolas Fauvergue,MSSTRA,19,Lille Osc,Frankreich
7,6172,Anatolij Dorosz,ST,21,Legia Warschau,Moldawien
8,6179,Landry Mulemo,LV,18,St.Truidense VV,Belgien
9,6177,Mounir Obbadi,LZMZM,21,SCO Angers,Frankreich
10,6171,Juanma Barba,ZM,20,Recreativo de Huelva,Spanien
11,6175,Evangelista Cunzi,STMS,20,Catanzaro,Italien
12,6182,Sebastian Schoof,STMSRS,24,Rot-Weiss Essen,Deutschland
13,6175,Delmer,ST,30,A. Académica de Coimbra,Brasilien
14,6181,Ailton,RMZOM,19,Sao Paulo,Brasilien
15,6188,Michal Kolomaznik,STLSMS,28,TSV 1860 München,Tschechische Repub.
16,6173,Marcelinho,RMROM,26,Necaxa,Brasilien
17,6175,Djamel Mesbah,LMLFL,19,FC Basel,Frankreich
18,6178,Andrzej Juskowiak,STMSRS,33,Erzgebirge Aue,Polen
19,6175,Tibor Tokody,STMS,24,RW Oberhausen,Ungarn
20,6175,Josh Low,RFLRMRZDM,25,Northampton Town,Wales
21,6171,Pedro López,LAV,20,Racing Santander,Spanien
22,6176,Norbert Meszaros,ZOMRZOMRZM,24,Energie Cottbus,Ungarn
23,6178,Miroslav Matusovic,STMSRS,23,Tschechien,Tschechische Repub.
24,6173,Moussa Sow,STMS,18,Rennes,Frankreich
25,6171,Aurélien Montaroup,LVLAV,18,Rennes,Frankreich
26,6178,Zoltán Szélesi,RVRIVRDM,22,Energie Cottbus,Ungarn
27,6186,Neri Raúl Cardozo,ZMZOM,18,Boca Juniors,Argentinien
28,6177,Gerard Nash,IVZM,18,Ipswich Town,Republik Irland
29,6172,Scott Mitchell,LVIVRV,19,Ipswich Town,England
30,6190,Arturo Di Napoli,STLS,30,Messina Calcio,Italien
1,6171,Elvir Melunovic,LMLZM,25,BSC Young Boys,Serbien
2,6175,Cris,LMLOM,24,SCO Angers,Brasilien
3,6178,Marlin Piana,MS,22,St.Truidense VV,"Kongo, DR"
4,6183,Óscar Mascorro,IVLIB,24,Puebla,Mexiko
5,6171,Andreas Granqvist,LIVIV,19,Helsingborg IF,Schweden
6,6178,Márcio Santos,MS,29,Atletico Mineiro,Brasilien
7,6176,Héctor López,RIVRVLIB,33,Sinaloa,Mexiko
8,6171,Michael Welch,IV,22,Macclesfield Town,England
9,6182,Patrick Collins,RVIV,19,Sheffield Wednesday,England
10,6176,Jake Robinson,STRS,17,Brighton Hove Albion,England
11,6171,Zoubaier Baya,STZOMLZOM,33,Tunesien,Tunesien
12,6174,Marco Paulo,MS,28,Stade Laval,Portugal
13,6180,Simone Farci,ZM,19,Cagliari Calcio,Italien
14,6173,Fernando Martel,LAMSLOM,29,Atlante,Chile
15,6171,Julio César Enciso,ZDMLDM,30,Paraguay,Paraguay
16,6173,Aloys Nong,ST,20,FC Strombeek,Frankreich
17,6171,Bang S. H.,ST,21,Incheon United,"Korea, Republik"
18,6171,Tomic,RM,31,Incheon United,Serbien
19,6171,Lim J. H.,RV,28,Chon-buk H. Motors,"Korea, Republik"
20,6171,Kim C. W.,RIV,24,Ulsan Hyundai Horang,"Korea, Republik"
21,6173,Stig Tøfting,ZDMRDM,35,Aarhus GF,Dänemark
22,6175,Kim T. Y,LMLFL,22,Chon-buk H. Motors,"Korea, Republik"
23,6175,Matt Taylor,MSZOM,22,Kansas City Wizards,USA
24,6171,André-Pierre Gignac,STMSRA,19,FC Lorient,Frankreich
25,6190,Sascha Rammel,RAVRVRM,19,Borussia Dortmund,Deutschland
26,6172,Lassina Diabate,ZM,30,St.Truidense VV,Elfenbeinküste
27,6173,Christophe Coué,IVLIBZDM,22,FC Lorient,Frankreich
28,6180,Rubens Oscar Sambueza,LALFLLM,20,Club Atletico River Plate,Argentinien
29,6171,Chris Aloisi,IV,23,Los Angeles Galaxy,USA
30,6181,Juliano,ZDM,23,Flamengo,Brasilien
1,6180,Peter Leven,ZMZOMLZOM,21,Kilmarnock,Schottland
2,6176,Eugene Dadi,ST,31,Tranmere Rovers,Frankreich
3,6193,Matthew Williams,MS,21,Nottingham County,England
4,6180,Ryan McCann,STMSRS,22,Hartlepool United,Nordirland
5,6174,Diagne Mammadou Latyr,STMS,20,Fredrikstad,Sierra Leone
6,6171,Sigurd Ertsås,STMS,19,Hamarkameratene,Norwegen
7,6171,Andreas Moen,MSST,20,Lyn,Norwegen
8,6171,David Torvik,IV,19,FK Bodö/Glimt,Norwegen
9,6180,Craig Bentham,IV,19,Bradford City,England
10,6180,Julien Hornuss,ST,18,Milton Keynes Dons,England
11,6171,Anders Særvold,LVLIV,20,Molde FK,Norwegen
12,6176,Justin Miller,IV,23,Leyton Orient,England
13,6171,Rune Pedersen,TW,24,Aarhus GF,Dänemark
14,6174,Christophe Lauwers,ST,32,KV Oostende,Belgien
15,6178,Jamie Collins,LMLVLAV,26,FC Watford,England
16,6176,Alex Smith,IV,28,AFC Wrexham,England
17,6185,Alexei Eremenko jr.,ST,21,Lecce,Finnland
18,6172,Jean-Paul Kamudimba,ZOM,22,OGC Nizza,"Kongo, DR"
19,6171,Jérôme Lafourcade,ST,21,SC Montpellier,Frankreich
20,6171,Christophe Bastien,RZMZMRM,28,FC Lorient,Frankreich
21,6171,Christophe Jallet,ZDM,20,Chamaois Niortais,Frankreich
22,6179,Henri Bedimo Nsame,LMLAVLV,20,FC Toulouse,Kamerun
23,6173,Jimmy Hamme,ZMZDM,21,Berrichonne de Châteauroux,Frankreich
24,6172,Napoleon Amafoule,ST,23,PAOK Saloniki,Nigeria
25,6174,Pantelis Konstantinidis,ZM,29,Panathinaikos,Griechenland
26,6177,Richie Baker,RMLM,24,New England Rev.,Republik Irland
27,6182,Guilherme Do Prado,ZMRM,22,AC Perugia,Italien
28,6171,Daniele Corvia,MSRAST,19,AS Rom,Italien
29,6176,Viktor Boudianski,ZDM,20,Reggina Calcio,Ukraine
30,6174,Nathan Coe,TW,20,PSV Eindhoven,Australien
1,6171,Davide Bombardini,RMZM,33,Salernitana,Italien
2,6174,Ernesto Terra,LVLIVIV,26,Catania,Italien
3,6175,Nicolas Andres Cordova,ZMZOM,25,AS Livorno Calcio,Chile
4,6175,Gianmatteo Mareggini,TW,37,AS Livorno Calcio,Italien
5,6174,Samuele Olivi,IVZDMZDM,24,Salernitana,Italien
6,6171,Ugur Yildirim,RZOMRAMS,22,SC Heerenveen,Niederlande
7,6171,Bjørnar Holmvik,LVRV,19,Stabaek IF,Norwegen
8,6171,David Garcia,IV,24,Tarragona,Spanien
9,6171,Olalla,RV,24,UE Lleida,Spanien
10,6174,Contreras,TW,32,Real Betis Sevilla,Spanien
11,6174,Nuñez,ZOMRZOMRZDM,31,Numancia,Spanien
12,6171,Hérita Ilunga,RV,22,AS St.Etienne,"Kongo, DR"
13,6171,F. Caceres,IVRIVLIV,35,Cordoba,Argentinien
14,6171,Parri,RM,22,Racing Santander,Spanien
15,6171,Toni Bernal,TW,26,Ciudad de Murcia,Spanien
16,6171,Roberto Carlos,ZM,22,FC Malaga B,Spanien
17,6171,Juan Carlos,STMS,28,Terrassa FC,Spanien
18,6177,Alexander Östlund,RAVRVST,25,Hammarby IF,Schweden
19,6171,Molas,ST,23,Deportivo Alavés,Spanien
20,6175,David Valle,TW,26,Terrassa FC,Spanien
21,6171,Lars Larsen,ZOMZMLOM,33,Örebro SK,Dänemark
22,6171,Zdravko Lazarov,STMSZOM,28,Bulgarien,Bulgarien
23,6177,Diego Alejandro Rivero,RM,23,Pachuca,Argentinien
24,6180,José María Calvo,RVRAV,23,Boca Juniors,Argentinien
25,6178,Christian Gómez,ZOM,29,D.C. United,Argentinien
26,6173,Danilo Telmo Gerlo,RVIV,25,Club Atletico River Plate,Argentinien
27,6172,Verza,RM,18,Villarreal,Spanien
28,6176,Alexandros Garpozis,ST,24,PAOK Saloniki,Zypern
29,6180,Albin Ebondo,IVRV,20,FC Toulouse,Frankreich
30,6184,Miljenko Mumlek,LMLFL,31,Standard Lüttich,Kroatien
1,6174,Edu,LAVLVLM,22,VfL Bochum,Brasilien
2,6180,Rhian Dodds,ZM,23,Kilmarnock,Kanada
3,6174,Billy Mehmet,ST,20,Dunfermline,England
4,6177,Mariusz Kukiełka,ZDMIVLM,27,Wisla Krakau,Polen
5,6184,Cesáreo Victorino,ZOMRZOMRZM,25,Cruz Azul,Mexiko
6,6190,F. Guillermo Ochoa,TW,19,América,Mexiko
7,6171,Tomás Campos,LMLAV,29,Cruz Azul,Mexiko
8,6188,Jesús Olalde,STMS,30,Tigres (Mexico),Mexiko
9,6175,Jim Provett,TW,21,Hartlepool United,England
10,6173,Carlos Bonet,ZM,27,Paraguay,Paraguay
11,6173,Ricardo Osorio,IVRVLV,24,Cruz Azul,Mexiko
12,6173,Tolunay Kafkas,RVRAVRM,36,FC Superfund Pasching,Türkei
13,6175,Fan Zhiyi,IV,34,VR China,China VR
14,6175,René Muzola Makondele,STLA,22,D. Stockholm,Kongo
15,6176,Ludwig Norbert,STLSRS,20,SCO Angers,Frankreich
